State/Territory/Federal Entity,Total Doses Delivered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,"People Fully Vacci""NaN""ted by State of Residence","Percent of Total Pop Fully Vacci""NaN""ted by State of Residence","People 18+ Fully Vacci""NaN""ted by State of Residence","Percent of 18+ Pop Fully Vacci""NaN""ted by State of Residence"
"Monta""NaN""",1796355,668476,62.5,612130,72.9,581428,54.4,536823,63.9
"North Caroli""NaN""",19597200,8228694,78.5,7536806,92.1,6012925,57.3,5503747,67.2
North Dakota,1231960,479486,62.9,439330,75.5,404900,53.1,373010,64.1
Nebraska,3551410,1299356,67.2,1162244,79.7,1169950,60.5,1055697,72.4
New Hampshire,3045930,1380006,95,1278340,95,921613,67.8,848849,76.9
New Jersey,19597915,7577179,85.3,6810492,95,6335897,71.3,5724008,82.4
New Mexico,3988905,1716525,81.9,1530905,94.4,1403771,66.9,1261071,77.8
Nevada,5304920,2181733,70.8,1994672,83.5,1760380,57.2,1626224,68.1
New York State,41064765,16671069,85.7,15098448,95,14144826,72.7,12882189,83.5
Ohio,20676815,7161263,61.3,6530355,71.7,6529382,55.9,6001355,65.9
Oklahoma,6519860,2660518,67.2,2441080,81.2,2139011,54.1,1968896,65.5
Oregon,8911935,3151688,74.7,2844485,84.9,2824861,67,2569016,76.7
Pennsylvania,26816615,10234930,79.9,9362373,92.1,8276370,64.6,7595380,74.7
Puerto Rico,6795770,2875767,90,2549554,95,2479875,77.6,2222050,84.8
Rhode Island,2365295,967000,91.3,869147,95,821370,77.5,740503,86.6
Republic of Palau,39490,18815,87.4,16841,95,16749,77.8,14923,90
"South Caroli""NaN""",9310125,3287311,63.8,3031103,75.1,2765781,53.7,2568405,63.6
South Dakota,1653505,637997,72.1,576912,86.4,511529,57.8,466678,69.9
Tennessee,11464260,4055834,59.4,3752519,70.5,3539140,51.8,3301034,62.1
Texas,54851015,19692875,67.9,17385296,80.5,16708563,57.6,15018454,69.5
Utah,5594850,2180456,68,1884313,82.8,1903749,59.4,1670803,73.4
Virginia,17631865,6848924,80.2,6096371,91.3,5862463,68.7,5239715,78.5
Veterans Health,7659720,3357910,"""NaN""",3355995,"""NaN""",2916032,"""NaN""",2914611,"""NaN"""
Virgin Islands,136960,64391,60.6,60196,73.9,54287,51.1,51053,62.6
Vermont,1477810,564559,90.5,503138,95,488609,78.3,435872,85.5
Washington,15743355,5829721,76.6,5233964,87.9,5220644,68.6,4718208,79.3
Wisconsin,10440725,4023611,69.1,3637069,79.8,3644539,62.6,3320718,72.9
West Virginia,3641325,1121546,62.6,1040630,72.6,994710,55.5,928888,64.8
Wyoming,886065,327176,56.5,301954,67.9,277945,48,258827,58.2
