subType,name,block,type,numLanes,project,route,length,dateInstalled
STRPRD,ALBEMARLE ST,200 BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,251.73202216000001,2011
STRPRD,ALBEMARLE ST,300 BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,251.61356168,2011
STRPRD,ALBEMARLE ST,UNIT BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,130.08460287,2011
STRPRD,ALBEMARLE ST,UNIT BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,143.3986946,2011
STRPRD,ALBEMARLE ST,UNIT BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,344.50935213999998,2011
STRPRD,ALICEANNA ST,1100 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,249.88325336,2010
STRPRD,ALICEANNA ST,1400 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,215.70230906,2010
STRPRD,ALICEANNA ST,1500 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,196.70058631000001,2010
STRPRD,ALICEANNA ST,1500 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,202.29917302999999,2010
STRPRD,ALICEANNA ST,1500 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,222.39080433000001,2010
STRPRD,ALICEANNA ST,1600 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,84.288303350000007,2010
STRPRD,ALICEANNA ST,1600 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,236.01150208000001,2010
STRPRD,ALICEANNA ST,1600 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,247.07378267000001,2010
STRPRD,ALICEANNA ST,1700 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,245.71642645,2010
STRPRD,ALICEANNA ST,1700 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,307.77974274000002,2010
STRPRD,ALICEANNA ST,1800 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,182.89030858999999,2010
STRPRD,ALICEANNA ST,1800 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,186.02844229999999,2010
STRPRD,ALICEANNA ST,1900 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,363.90820144999998,2010
STRPRD,ALICEANNA ST,2000 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,227.34712396,2010
STRPRD,ALICEANNA ST,2000 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,265.40953129000002,2010
STRPRD,ALICEANNA ST,2100 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,347.22305939,2010
STRPRD,ALICEANNA ST,700 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,332.48813421,2010
STRPRD,ALICEANNA ST,800 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,314.95169112000002,2010
STRPRD,ALICEANNA ST,900 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,335.40339134999999,2010
STRPRD,ARGONNE DR,2100 BLK ARGONNE DR,BIKE LANE,2,ENGINEERING CONSTRUCTION, ,1312.60837294,0
STRPRD,ART MUSEUM DR, ,SIGNED ROUTE,2,COLLEGETOWN NETWORK, ,50.07543751,2007
STRPRD,ART MUSEUM DR, ,SIGNED ROUTE,2,COLLEGETOWN NETWORK, ,117.90131584,2007
STRPRD,ART MUSEUM DR,UNIT BLK ART MUSEUM DR,SIGNED ROUTE,2,COLLEGETOWN NETWORK, ,664.99720801000001,2007
STRPRD,AUCHENTOROLY TERR,3500 BLK AUCHENTOROLY TERR,BIKE LANE,1, , ,1341.8290799500001,2012
STRPRD,BANK ST, ,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,21.01841344,2010
STRPRD,BANK ST, ,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,16.759660929999999,2010
STRPRD,BANK ST, ,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,36.078307100000004,2010
STRPRD,BANK ST, ,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,59.129877909999998,2010
STRPRD,BANK ST, ,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,98.652136209999995,2010
STRPRD,BANK ST,1200 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,332.00107334,2011
STRPRD,BANK ST,1300 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,122.56817005000001,2010
STRPRD,BANK ST,1300 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,133.10776300000001,2010
STRPRD,BANK ST,1400 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,82.304608270000003,2010
STRPRD,BANK ST,1400 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,101.97394269,2010
STRPRD,BANK ST,1400 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,212.46080211,2010
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,85.247298209999997,2010
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,96.863560440000001,2010
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,103.49724848,2010
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,114.28571663,2010
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,116.60717246,2010
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,129.91083311,2010
STRPRD,BANK ST,1600 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,104.25290335,2010
STRPRD,BANK ST,1600 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,151.92841677000001,2010
STRPRD,BANK ST,1700 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,258.35940873999999,2010
STRPRD,BANK ST,1700 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,284.11786820999998,2010
STRPRD,BANK ST,1800 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,183.50987860000001,2010
STRPRD,BANK ST,1800 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,188.65368455000001,2010
STRPRD,BANK ST,1900 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,180.77382395000001,2010
STRPRD,BANK ST,1900 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,185.89812814999999,2010
STRPRD,BANK ST,2000 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,230.45468785,2010
STRPRD,BANK ST,2000 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,265.94506293000001,2010
STRPRD,BANK ST,2100 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,68.543326989999997,2010
STRPRD,BANK ST,2100 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,172.00678916999999,2010
STRPRD,BANK ST,2200 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,77.353551789999997,2010
STRPRD,BANK ST,2200 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,127.93466146999999,2010
STRPRD,BANK ST,2200 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,230.07350145000001,2010
STRPRD,BANK ST,3100 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,91.7788434,2010
STRPRD,BANK ST,3100 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,92.557051259999994,2010
STRPRD,BANK ST,3100 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,106.44124223999999,2010
STRPRD,BANK ST,3100 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,110.43775988,2010
STRPRD,BANK ST,3200 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,95.708850170000005,2010
STRPRD,BANK ST,3200 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,99.651920860000004,2010
STRPRD,BANK ST,3200 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,122.96152751,2010
STRPRD,BANK ST,3200 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,125.39668886,2010
STRPRD,BANK ST,3300 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,128.90473277000001,2010
STRPRD,BANK ST,3300 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,140.18917789,2010
STRPRD,BANK ST,3400 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,256.90171040000001,2010
STRPRD,BANK ST,3500 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,269.44807745000003,2010
STRPRD,BANK ST,3600 BLK BANK ST,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,194.05847,2010
STRPRD,BANK ST,3700 BLK BANK ST,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,314.32692415000002,2010
STRPRD,BANK ST,3800 BLK BANK ST,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,224.28452138,2010
STRPRD,BANK ST,3800 BLK BANK ST,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,328.23000796999997,2010
STRPRD,BANK ST,4000 BLK BANK ST,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,260.98767142999998,2010
STRPRD,BATTERY AVE,700 BLK BATTERY AVE,SIGNED ROUTE,1, ,FT McHENRY,107.05652354,0
STRPRD,BATTERY AVE,700 BLK BATTERY AVE,SIGNED ROUTE,1, ,FT McHENRY,126.19756381000001,0
STRPRD,BATTERY AVE,800 BLK BATTERY AVE,SIGNED ROUTE,1, ,FT McHENRY,191.23518455999999,0
STRPRD,BATTERY AVE,800 BLK BATTERY AVE,SIGNED ROUTE,1, ,FT McHENRY,198.93037294999999,0
STRPRD,BEAUMONT AVE,1000 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,453.97124507000001,2007
STRPRD,BEAUMONT AVE,1100 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,348.88869764999998,2007
STRPRD,BEAUMONT AVE,400 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,234.05136206,2007
STRPRD,BEAUMONT AVE,500 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,306.25306255999999,2007
STRPRD,BEAUMONT AVE,500 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,390.40699315000001,2007
STRPRD,BEAUMONT AVE,600 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,388.07774640999997,2007
STRPRD,BEAUMONT AVE,700 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,644.02695679999999,2007
STRPRD,BEAUMONT AVE,900 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,351.31048453,2007
STRPRD,BELAIR ROAD, ,SHARROW,2,OPERATION ORANGE CONE, ,33.936363929999999,2008
STRPRD,BELAIR ROAD,4600 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,40.747268689999999,2008
STRPRD,BELAIR ROAD,4600 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,175.30787505000001,2008
STRPRD,BELAIR ROAD,4600 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,310.80519593999998,2008
STRPRD,BELAIR ROAD,4600 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,315.69988704000002,2008
STRPRD,BELAIR ROAD,4700 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,108.54582549,2008
STRPRD,BELAIR ROAD,4700 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,204.53459452999999,2008
STRPRD,BELAIR ROAD,4800 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,255.74507062999999,2008
STRPRD,BELAIR ROAD,4800 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,367.26228593000002,2008
STRPRD,BELAIR ROAD,4900 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,172.39120421000001,2008
STRPRD,BELAIR ROAD,4900 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,177.50546394,2008
STRPRD,BELAIR ROAD,4900 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,324.32498878000001,2008
STRPRD,BELAIR ROAD,5000 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,270.04523834999998,2008
STRPRD,BELAIR ROAD,5100 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,213.94085021000001,2008
STRPRD,BELAIR ROAD,5100 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,231.21095080000001,2008
STRPRD,BELAIR ROAD,5200 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,46.44069193,2008
STRPRD,BELAIR ROAD,5200 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,72.543334630000004,2008
STRPRD,BELAIR ROAD,5200 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,209.83240004000001,2008
STRPRD,BELAIR ROAD,5300 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,74.773361190000003,2008
STRPRD,BELAIR ROAD,5300 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,194.67304551000001,2008
STRPRD,BOSTON ST, , ,0, , ,25.72127253,0
STRPRD,BOSTON ST, ,BIKE LANE,1,OPERATION ORANGE CONE, ,31.42981511,2011
STRPRD,BOSTON ST, ,BIKE LANE,1,OPERATION ORANGE CONE, ,31.908740519999998,2011
STRPRD,BOSTON ST,2100 BLK BOSTON ST,BIKE LANE,2,OPERATION ORANGE CONE, ,462.16823131000001,2008
STRPRD,BOSTON ST,2200 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,171.88776314,2008
STRPRD,BOSTON ST,2200 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,243.24113656,2008
STRPRD,BOSTON ST,2200 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,420.21871886000002,2008
STRPRD,BOSTON ST,2300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,242.69562271999999,2008
STRPRD,BOSTON ST,2300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,244.71848180999999,2008
STRPRD,BOSTON ST,5800 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,130.53586318000001,2011
STRPRD,BOSTON ST,5800 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,132.11459198,2011
STRPRD,BOSTON ST,5900 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,126.76103241,2011
STRPRD,BOSTON ST,5900 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,141.84761305000001,2011
STRPRD,BOSTON ST,6000 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,179.25043502,2011
STRPRD,BOSTON ST,6000 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,179.85699303000001,2011
STRPRD,BOSTON ST,6100 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,185.64415769999999,2011
STRPRD,BOSTON ST,6100 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,188.61922891,2011
STRPRD,BOSTON ST,6100 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,656.10646109000004,2011
STRPRD,BOSTON ST,6200 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,92.664102700000001,2011
STRPRD,BOSTON ST,6200 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,187.73428637000001,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,72.794015229999999,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,77.650176529999996,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,78.165048799999994,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,79.526866979999994,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,84.432925960000006,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,88.092026720000007,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,90.602252559999997,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,91.079643070000003,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,101.15104449,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,108.19153906,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,124.3065113,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,146.42566108,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,345.33190296999999,2011
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,562.97466903999998,2011
STRPRD,BOSTON ST,6400 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,240.25251607000001,2011
STRPRD,BOSTON ST,6500 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,181.18958982000001,2011
STRPRD,BOSTON ST,6600 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,42.454449859999997,2011
STRPRD,BOSTON ST,6600 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,93.664185630000006,2011
STRPRD,BOSTON ST,6600 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,145.87881815,2011
STRPRD,BOSTON ST,6600 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,450.02246518999999,2011
STRPRD,BOSTON ST,6600 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,551.54128372000002,2011
STRPRD,CHARLCOTE ROAD, ,SIGNED ROUTE,1,COLLEGETOWN,COLLEGETOWN,25.20414281,2007
STRPRD,CHARLCOTE ROAD, ,SIGNED ROUTE,1,COLLEGETOWN,COLLEGETOWN,36.98224287,2007
STRPRD,CHARLCOTE ROAD,4200 BLK CHARLCOTE ROAD,SIGNED ROUTE,1,COLLEGETOWN,COLLEGETOWN,664.34280680999996,2007
STRPRD,CHERRY HILL ROAD,100 BLK CHERRY HILL ROAD,BIKE LANE,2,OPERATION ORANGE CONE, ,353.74746221999999,2013
STRPRD,CHERRY HILL ROAD,200 BLK CHERRY HILL ROAD,BIKE LANE,2,OPERATION ORANGE CONE, ,422.60206298999998,2013
STRPRD,CHERRY HILL ROAD,300 BLK CHERRY HILL ROAD,BIKE LANE,2,OPERATION ORANGE CONE, ,121.02734018,2013
STRPRD,CHERRY HILL ROAD,400 BLK CHERRY HILL ROAD,BIKE LANE,2,OPERATION ORANGE CONE, ,122.57221092,2013
STRPRD,CHERRY HILL ROAD,400 BLK CHERRY HILL ROAD,BIKE LANE,2,OPERATION ORANGE CONE, ,128.84791362000001,2013
STRPRD,CHERRY HILL ROAD,500 BLK CHERRY HILL ROAD,BIKE LANE,2,OPERATION ORANGE CONE, ,361.05729540999999,2013
STRPRD,CHERRY HILL ROAD,600 BLK CHERRY HILL ROAD,BIKE LANE,2,OPERATION ORANGE CONE, ,535.15165547000004,2013
STRPRD,CHERRY HILL ROAD,700 BLK CHERRY HILL ROAD,BIKE LANE,2,OPERATION ORANGE CONE, ,211.4260926,2013
STRPRD,CHERRY HILL ROAD,700 BLK CHERRY HILL ROAD,BIKE LANE,2,OPERATION ORANGE CONE, ,289.28803499999998,2013
STRPRD,CHERRY HILL ROAD,UNIT BLK CHERRY HILL ROAD,BIKE LANE,2,OPERATION ORANGE CONE, ,358.54363390999998,2013
STRPRD,CHERRYLAND ROAD,2900 BLK CHERRYLAND ROAD,SHARROW,2,OPERATION ORANGE CONE, ,426.9641962,2008
STRPRD,CHERRYLAND ROAD,3000 BLK CHERRYLAND ROAD,SHARROW,2,OPERATION ORANGE CONE, ,482.24414689000002,2008
STRPRD,CHERRYLAND ROAD,3100 BLK CHERRYLAND ROAD,SHARROW,2,OPERATION ORANGE CONE, ,134.75426300000001,2008
STRPRD,CHERRYLAND ROAD,3100 BLK CHERRYLAND ROAD,SHARROW,2,OPERATION ORANGE CONE, ,185.16414825999999,2008
STRPRD,CHERRYLAND ROAD,3200 BLK CHERRYLAND ROAD,SHARROW,2,OPERATION ORANGE CONE, ,120.92104666,2008
STRPRD,CHERRYLAND ROAD,3200 BLK CHERRYLAND ROAD,SHARROW,2,OPERATION ORANGE CONE, ,133.92537847,2008
STRPRD,CHERRYLAND ROAD,3200 BLK CHERRYLAND ROAD,SHARROW,2,OPERATION ORANGE CONE, ,273.82458525999999,2008
STRPRD,CHERRYLAND ROAD,3300 BLK CHERRYLAND ROAD,SHARROW,2,OPERATION ORANGE CONE, ,417.65923837999998,2008
STRPRD,CHESTNUT AVE,3300 BLK CHESTNUT AVE,SHARROW,2,COLLEGETOWN, ,602.36608303000003,2007
STRPRD,CHESTNUT AVE,3400 BLK CHESTNUT AVE,SHARROW,2,COLLEGETOWN, ,230.18473466,2007
STRPRD,CHESTNUT AVE,3400 BLK CHESTNUT AVE,SHARROW,2,COLLEGETOWN, ,230.99146579000001,2007
STRPRD,CHESTNUT AVE,3500 BLK CHESTNUT AVE,SHARROW,2,COLLEGETOWN, ,36.853861479999999,2007
STRPRD,CHESTNUT AVE,3500 BLK CHESTNUT AVE,SHARROW,2,COLLEGETOWN, ,82.204821429999996,2007
STRPRD,CHESTNUT AVE,3500 BLK CHESTNUT AVE,SHARROW,2,COLLEGETOWN, ,127.33705937000001,2007
STRPRD,CHESTNUT AVE,3500 BLK CHESTNUT AVE,SHARROW,2,COLLEGETOWN, ,228.38356976,2007
STRPRD,CLARKS LANE, ,SHARROW,2,OPERATION ORANGE CONE, ,203.87279473999999,2008
STRPRD,CLARKS LANE,3400 BLK CLARKS LANE,SIGNED ROUTE,2,PARK HEIGHTS BIKE NETWORK,CROSS COUNTRY,135.47847103999999,2010
STRPRD,CLARKS LANE,3400 BLK CLARKS LANE,SIGNED ROUTE,2,PARK HEIGHTS BIKE NETWORK,CROSS COUNTRY,347.29648961999999,2010
