name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
Francis Scott Key Memorial,21230,Locust Point Industrial Area,10,SOUTHERN,"1401 CONSTELLATION PLZA
Baltimore, MD
"
Thomas Wildey Monument,21231,Washington Hill,1,SOUTHEASTERN,
Latrobe Monument,21231,Washington Hill,1,SOUTHEASTERN,
Christopher Columbus,21202,Inner Harbor,1,SOUTHEASTERN,"300 PRESIDENT ST
Baltimore, MD
"
Korean War Memorial,21224,Canton,1,SOUTHEASTERN,"2999 BOSTON ST
Baltimore, MD
"
War Memorial Plaza,21202,Downtown,11,CENTRAL,"101 HOLLIDAY ST
Baltimore, MD
"
Columbus Obelisk,21214,Herring Run Park,3,NORTHEASTERN,"4001 HARFORD ROAD
Baltimore, MD
"
Mothers Garden,21213,Clifton Park,14,NORTHEASTERN,"2801 HARFORD ROAD
Baltimore, MD
"
Memorial Stadium,21218,Ednor Gardens-Lakeside,14,NORTHEASTERN,"1000 33RD ST
Baltimore, MD
"
Serviceman's Memorial,21211,Johns Hopkins Homewood,14,NORTHERN,"3100 CHARLES ST
Baltimore, MD
"
Serviceman's Memorial,21211,Johns Hopkins Homewood,14,NORTHERN,
Serviceman's Memorial,21211,Johns Hopkins Homewood,14,NORTHERN,
Serviceman's Memorial,21211,Johns Hopkins Homewood,14,NORTHEASTERN,"2801 HARFORD ROAD
Baltimore, MD
"
Serviceman's Memorial,21211,Johns Hopkins Homewood,14,SOUTHERN,
Saint-Lo Drive Memorial,21213,Clifton Park,14,NORTHEASTERN,
Fell Family Memorial,21231,Fells Point,1,SOUTHEASTERN,
Rogers Bastion,21224,Patterson Park,1,SOUTHEASTERN,"100 LINWOOD AVE
Baltimore, MD
"
Veterans of Foreign Wars Monument,21224,Hopkins Bayview,2,SOUTHEASTERN,"5100 EASTERN AVE
Baltimore, MD
"
Flagstaff,21223,New Southwest/Mount Clare,9,SOUTHERN,
Garrett Park Monument,21225,Brooklyn,10,SOUTHERN,"3560 3RD ST
Baltimore, MD
"
Babe Ruth,21201,Stadium Area,11,SOUTHERN,"555 RUSSELL ST
Baltimore, MD
"
Indian on the Trail,21213,Clifton Park,14,NORTHEASTERN,"2801 HARFORD ROAD
Baltimore, MD
"
Katyn Memorial,21202,Inner Harbor,1,SOUTHEASTERN,"790 ALICEANNA ST
Baltimore, MD
"
The Washington Monument,21201,Mount Vernon,11,CENTRAL,"699 WASHINGTON PL
Baltimore, MD
"
Sea Urchin,21218,Johns Hopkins Homewood,14,CENTRAL,
Lafayette Monument,21201,Mount Vernon,11,CENTRAL,
John Eager Howard Monument,21201,Mount Vernon,11,CENTRAL,
Severn Teackle Wallis,21202,Mount Vernon,11,CENTRAL,
Roger B. Taney,21201,Mount Vernon,11,CENTRAL,
George Peabody,21202,Mount Vernon,11,CENTRAL,
William H. Welch,21218,Johns Hopkins Homewood,14,NORTHERN,"3200 CHARLES ST
Baltimore, MD
"
Wallace Monument,21217,Druid Hill Park,7,NORTHERN,"2700 MADISON AVE
Baltimore, MD
"
George Washington,21217,Druid Hill Park,7,NORTHERN,"2700 MADISON AVE
Baltimore, MD
"
Columbus Monument,21217,Druid Hill Park,7,NORTHERN,"2700 MADISON AVE
Baltimore, MD
"
The Pride Memorial,21202,Inner Harbor,11,CENTRAL,"399 PRATT ST
Baltimore, MD
"
Frederick Douglas,21251,Morgan State University,3,NORTHEASTERN,"4601 HILLEN ROAD
Baltimore, MD
"
Jose Marti,21231,Dunbar-Broadway,12,SOUTHEASTERN,
John Mifflen Hood,21202,Downtown,11,CENTRAL,
Firemen's Memorial,21202,Downtown,11,CENTRAL,"410 LEXINGTON ST
Baltimore, MD
"
Fallsway Fountain,21202,Mid-Town Belvedere,12,EASTERN,
Thurgood Marshall,21201,Inner Harbor,11,CENTRAL,"100 PRATT ST
Baltimore, MD
"
"Mayor Thomas D'Alesandro , Jr.",21201,Downtown,11,CENTRAL,"100 CHARLES ST
Baltimore, MD
"
Wagner,21217,Druid Hill Park,7,NORTHERN,"2700 MADISON AVE
Baltimore, MD
"
John Eager Howard,21201,Mount Vernon,11,CENTRAL,"310 CENTRE ST
Baltimore, MD
"
Granite Memorial Shaft,21223,Carrollton Ridge,9,SOUTHERN,
Veterans Memorial,21223,Carrollton Ridge,9,SOUTHERN,
H.L. Mencken Fountain,21223,Union Square,9,SOUTHERN,"31 GILMOR ST
Baltimore, MD
"
